net,length_um
net4,235.79
_251_,175.82
_252_,164.84
net13,150.68
_253_,144
_122_,137.36
net14,136.06
_226_,135.935
net11,129.16
net15,125.58
_186_,123.72
_185_,121.255
net16,112.96
_136_,112.265
_101_,111.66
AMUX2_3V.I1,105.16
_120_,104.305
_140_,102.68
_134_,97.76
_131_,96.02
_149_,94.855
net3,92.08
_133_,80.64
_188_,79.92
raven_spi.U1.state\[1\],78.83
_192_,74.72
_198_,71.56
raven_spi.U1.addr\[0\],65.64
_147_,63.2
_196_,62.16
raven_spi.U1.wrstb,61.38
_109_,59.685
net12,59.3
_104_,55.94
AMUX2_3V.I0,53.76
net7,52.96
raven_spi.U1.addr\[3\],50.06
net8,47.865
raven_spi.U1.addr\[1\],47.76
net2,47.38
_157_,47.36
_194_,45.56
net10,43.78
_221_,42.74
net6,42.425
raven_spi.U1.addr\[2\],42.4
raven_spi.pll_cp_ena,40.72
_110_,38.4
net9,37.72
raven_spi.U1.count\[0\],35.6
raven_spi.U1.count\[1\],35.33
raven_spi.U1.addr\[4\],32.52
raven_spi.reg_ena,32.28
net5,29.4
_230_,28.13
_141_,27.02
raven_spi.U1.fixed\[1\],26.77
raven_spi.pll_trim\[2\],26.02
_146_,25.86
raven_spi.U1.addr\[5\],23.82
raven_spi.U1.fixed\[0\],23.8
raven_spi.pll_trim\[3\],23.48
raven_spi.U1.odata\[6\],23.02
raven_spi.pll_trim\[1\],23
_115_,22.98
_108_,21.62
raven_spi.U1.state\[2\],21.58
raven_spi.U1.addr\[6\],21.08
_204_,20.76
raven_spi.pll_vco_ena,20.62
_233_,20.44
raven_spi.U1.fixed\[2\],20.16
select,20.06
raven_spi.U1.odata\[1\],19.52
_111_,19.38
raven_spi.U1.addr\[7\],19
_107_,18.92
raven_spi.U1.odata\[7\],18.42
raven_spi.U1.state\[0\],18.03
raven_spi.U1.odata\[2\],18.02
_232_,17.76
_160_,17.7
raven_spi.U1.ldata\[4\],17.42
raven_spi.U1.ldata\[2\],17.1
raven_spi.U1.odata\[5\],16.94
raven_spi.U1.ldata\[6\],16.76
raven_spi.U1.odata\[4\],16.66
